id,gc,gc_skew,cpg_density,aa_lcr_fraction,nt_repeat_fraction,aa_len,cds_len
Chlorocebus_sabaeus,0.46946,-0.07309,0.01207,0.01357,0.64593,884,2652
Ornithorhynchus_anatinus,0.54964,-0.1044,0.03852,0.02718,0.65459,883,2649
Enhydra_lutris_kenyoni,0.55159,-0.08633,0.03811,0.06905,0.65794,840,2520
Saccopteryx_bilineata,0.56046,-0.06851,0.02779,0.04412,0.62868,816,2448
Tyto_alba,0.40136,0.00753,0.01096,0.03061,0.726,882,2646
Falco_rusticolus,0.4066,0.01887,0.01074,0.01496,0.70848,869,2607
Colius_striatus,0.42484,0.00633,0.01423,0.01384,0.72203,867,2601
Equus_przewalskii,0.51023,-0.05626,0.02764,0.07858,0.65554,929,2787
Leptosomus_discolor,0.40788,0.01136,0.01159,0.0,0.71456,863,2589
Ochotona_princeps,0.60988,-0.06478,0.03788,0.14815,0.71934,810,2430
Geospiza_fortis,0.43001,0.01978,0.01122,0.0,0.71152,862,2586
Cariama_cristata,0.40262,0.01147,0.01078,0.02887,0.69977,866,2598
Haliaeetus_leucocephalus,0.40545,0.02554,0.01266,0.02992,0.72497,869,2607
Fukomys_damarensis,0.50587,-0.07402,0.01653,0.02863,0.66043,908,2724
Theropithecus_gelada,0.4809,-0.07358,0.01488,0.01448,0.6534,829,2487
Bos_mutus,0.58397,-0.09586,0.03649,0.10509,0.67281,923,2769
Parus_major,0.4213,0.02015,0.01158,0.01389,0.71296,864,2592
Manis_javanica,0.50365,-0.08702,0.01923,0.04844,0.65629,867,2601
Puma_concolor,0.52633,-0.04325,0.02957,0.0367,0.65579,981,2943
Piliocolobus_tephrosceles,0.4805,-0.06611,0.01167,0.02895,0.65862,829,2487
Halichoerus_grypus,0.54878,-0.08717,0.04295,0.04859,0.65311,885,2655
Cebus_imitator,0.48752,-0.08836,0.01772,0.03502,0.65459,828,2484
Vidua_chalybeata,0.42305,0.0128,0.01006,0.0,0.70456,862,2586
Anomalospiza_imberbis,0.42269,0.0386,0.0115,0.01335,0.71969,899,2697
Serinus_canaria,0.43001,0.02338,0.01199,0.0,0.72776,862,2586
Gopherus_flavomarginatus,0.38047,-0.04228,0.00861,0.02694,0.66105,891,2673
Sapajus_apella,0.48854,-0.08642,0.0185,0.03498,0.64978,829,2487
Crocodylus_porosus,0.39204,-0.00308,0.00644,0.0,0.64335,829,2487
Pteropus_vampyrus,0.49456,-0.06991,0.02526,0.03497,0.64841,858,2574
Corvus_cornix_cornix,0.42738,0.00836,0.0127,0.01548,0.70913,840,2520
Chaetura_pelagica,0.41849,-0.00275,0.00998,0.03337,0.70157,869,2607
Chrysemys_picta_bellii,0.3784,-0.03696,0.00933,0.01399,0.64763,858,2574
Onychostruthus_taczanowskii,0.4367,0.03191,0.01549,0.01394,0.71429,861,2583
Oenanthe_melanoleuca,0.43216,0.00616,0.01255,0.01368,0.73204,877,2631
Anas_acuta,0.4511,-0.00781,0.02466,0.01526,0.70423,852,2556
Cervus_canadensis,0.60516,-0.09902,0.04367,0.13214,0.66508,840,2520
Muntiacus_reevesi,0.59181,-0.1053,0.04131,0.11283,0.65044,904,2712
Dryobates_pubescens,0.44418,-0.0217,0.01527,0.03735,0.71566,830,2490
Nyctereutes_procyonoides,0.55836,-0.0819,0.03451,0.04573,0.67108,831,2493
Rattus_rattus,0.51945,-0.06441,0.01548,0.07277,0.70556,797,2391
Chamaea_fasciata,0.42336,0.01925,0.0097,0.0,0.71013,859,2577
Puma_yagouaroundi,0.5456,-0.06065,0.03432,0.04358,0.65456,826,2478
Emys_orbicularis,0.37998,-0.03253,0.00917,0.01435,0.64434,836,2508
Antechinus_flavipes,0.46546,-0.02847,0.01848,0.05783,0.67831,830,2490
Egretta_garzetta,0.4089,0.00938,0.01458,0.04948,0.70004,869,2607
Tauraco_erythrolophus,0.4107,-0.00094,0.01425,0.03118,0.66898,866,2598
Panthera_pardus,0.5452,-0.06588,0.03391,0.04358,0.65698,826,2478
Gracilinanus_agilis,0.46249,-0.05291,0.01445,0.01685,0.6803,831,2493
Mustela_putorius_furo,0.54911,-0.09238,0.03826,0.03623,0.6719,828,2484
Bos_javanicus,0.57992,-0.09484,0.03582,0.10742,0.66519,903,2709
Marmota_flaviventris,0.46667,-0.07769,0.00975,0.03509,0.64561,855,2565
Urocitellus_parryii,0.46292,-0.08769,0.00976,0.03513,0.65808,854,2562
Falco_naumanni,0.40698,0.02356,0.01036,0.01496,0.70387,869,2607
Phyllostomus_hastatus,0.53403,-0.11079,0.03366,0.06845,0.6744,862,2586
Symphalangus_syndactylus,0.48005,-0.07416,0.01566,0.05047,0.67332,852,2556
Eubalaena_glacialis,0.62148,-0.06899,0.05835,0.17149,0.62418,863,2589
Kogia_breviceps,0.65653,-0.05226,0.07683,0.14035,0.63509,855,2565
Mirounga_angustirostris,0.55466,-0.07788,0.04589,0.04931,0.6487,872,2616
Rhea_pennata,0.38921,0.01584,0.01002,0.01618,0.68863,865,2595
